"Country","Population","Attendees","Instructors"
"Australia",23737000,592,11
"Brazil",203850000,116,1
"Canada",35675000,1215,46
"China",1368090000,24,1
"Cyprus",858000,25,0
"Denmark",5655000,20,1
"France",66092000,72,4
"Germany",80767000,183,6
"Ghana",27043000,24,0
"India",1266580000,0,1
"Ireland",4609000,0,1
"Israel",8296000,0,1
"Italy",60782000,81,1
"Japan",127020000,0,1
"Jordan",6688000,34,0
"Lebanon",4104000,25,0
"Netherlands",16888000,39,0
"New Zealand",4560000,19,1
"Norway",5156000,90,2
"Poland",38496000,60,5
"Saudi Arabia",31521000,20,0
"Singapore",5469000,0,1
"South Africa",54002000,90,2
"Spain",46464000,0,2
"Sweden",9743000,54,3
"Switzerland",8211000,63,0
"Thailand",64871000,0,1
"United Kingdom",64105000,1231,48
"United States",320354000,5253,166
